order,category,category_reason,relevance_pro_ikz,relevance_rank,dataset_id,dataset_title,rodina_datasetu,hlavni_skupina,detailni_skupina,uzemni_uroven,zdroj_typ,status,source_kind,source_code,source_title,selected_file,selected_sheet,selected_format,row_count,column_count,time_columns,years_min,years_max,years_count,years_sample,years_source,has_target_years,target_years_present,target_years_missing,has_primary_key,primary_key_column,primary_key_kind,primary_key_note,start_catalog,end_catalog,periodicita_text,head_csv,tail_csv,metadata_json,page,error,territorial_scope,territorial_scope_label,territorial_rank,territorial_evidence,family_sort_key,variant_year
1,A,obsahuje cílové roky (data) a má primary key,jádrová pro IKŽ,0,200068,Dokončené byty v obcích,Dokončené byty v obcích,Bydlení a technická infrastruktura,bytová výstavba a stavebnictví,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data do roku 2024 - revidovaná data'},OD_STA01_2025090509313708.CSV,,zip->csv,509671.0,13.0,"rok, casref_od, casref_do",1997.0,2024.0,28,"1997, 1998, 1999, 2000, 2001, 2002 ... 2019, 2020, 2021, 2022, 2023, 2024",data_columns,True,"2023, 2024",,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",1997-01-01 00:00:00,2024-12-31 00:00:00,roční,previews\A_200068_Dokoncene_byty_v_obcich_head.csv,previews\A_200068_Dokoncene_byty_v_obcich_tail.csv,previews\A_200068_Dokoncene_byty_v_obcich_meta.json,https://csu.gov.cz/docs/107508/b8162c4b-9666-eb7a-9712-81190103364d/200068-22dds.htm,"Archiv obsahuje 1 čitelných souborů; profilován byl `OD_STA01_2025090509313708.CSV` | encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `rok`; matching_rows=28635",obec,obec,0,uzemi_cis/vuzemi_cis=43,dokoncenebytyvobcich,2024
2,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,190037,Zařízení sociálních služeb podle obcí,Zařízení sociálních služeb podle obcí,Zdraví a sociální služby,kapacity sociálních služeb,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data k 31.12.2024'},ds_190037.csv,,csv,2207.0,11.0,rok,2024.0,2024.0,1,2024,data_columns,False,2024,2023,True,obec_kod,exact,nalezen přímý obecní klíč; v head preview se hodnoty opakují (odhad duplicity 80%),2018-12-31 00:00:00,2024-12-31 00:00:00,roční,previews\C_190037_Zarizeni_socialnich_sluzeb_podle_obci_head.csv,previews\C_190037_Zarizeni_socialnich_sluzeb_podle_obci_tail.csv,previews\C_190037_Zarizeni_socialnich_sluzeb_podle_obci_meta.json,https://csu.gov.cz/docs/107508/4b842027-3f33-10c3-531b-3bbb826cfa81/190037-22dds.htm,"encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `rok`; matching_rows=2207",obec,obec,0,primary_key_column=obec_kod,zarizenisocialnichsluzebpodleobci,2024
3,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,130141r23,Pohyb obyvatel - rok 2022,Pohyb obyvatel,Demografie a populace,přirozená měna a migrace,více úrovní (ČR–kraj–okres–ORP–obec),běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data roku 2022'},ds_130141r23.csv,,csv,85306.0,11.0,"rok, casref_od, casref_do",2022.0,2022.0,1,2022,data_columns,False,,"2023, 2024",True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, catalog_hints_non_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2022-01-01 00:00:00,2022-12-31 00:00:00,roční,previews\C_130141r23_Pohyb_obyvatel_-_rok_2022_head.csv,previews\C_130141r23_Pohyb_obyvatel_-_rok_2022_tail.csv,previews\C_130141r23_Pohyb_obyvatel_-_rok_2022_meta.json,https://csu.gov.cz/docs/107508/e40b9b8d-ff26-8c5b-1161-00763f3e3a86/130141-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2022 v intervalu 2020-2023; head/tail jsou z celého datasetu,obec,obec,0,"uzemi_cis/vuzemi_cis=43,65",pohybobyvatel,2022
4,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,130141r24,Pohyb obyvatel - rok 2023,Pohyb obyvatel,Demografie a populace,přirozená měna a migrace,více úrovní (ČR–kraj–okres–ORP–obec),běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data roku 2023'},ds_130141r24.csv,,csv,85306.0,11.0,"rok, casref_od, casref_do",2023.0,2023.0,1,2023,data_columns,False,2023,2024,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, catalog_hints_non_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2023-01-01 00:00:00,2023-12-31 00:00:00,roční,previews\C_130141r24_Pohyb_obyvatel_-_rok_2023_head.csv,previews\C_130141r24_Pohyb_obyvatel_-_rok_2023_tail.csv,previews\C_130141r24_Pohyb_obyvatel_-_rok_2023_meta.json,https://csu.gov.cz/docs/107508/e40b9b8d-ff26-8c5b-1161-00763f3e3a86/130141-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2023 v intervalu 2020-2023; head/tail jsou z celého datasetu,obec,obec,0,uzemi_cis/vuzemi_cis=43,pohybobyvatel,2023
5,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,130141r25,Pohyb obyvatel - rok 2024,Pohyb obyvatel,Demografie a populace,přirozená měna a migrace,více úrovní (ČR–kraj–okres–ORP–obec),běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data roku 2024'},ds_130141r25.csv,,csv,78744.0,11.0,"rok, casref_od, casref_do",2024.0,2024.0,1,2024,data_columns,False,2024,2023,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, catalog_hints_non_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2024-01-01 00:00:00,2024-12-31 00:00:00,roční,previews\C_130141r25_Pohyb_obyvatel_-_rok_2024_head.csv,previews\C_130141r25_Pohyb_obyvatel_-_rok_2024_tail.csv,previews\C_130141r25_Pohyb_obyvatel_-_rok_2024_meta.json,https://csu.gov.cz/docs/107508/e40b9b8d-ff26-8c5b-1161-00763f3e3a86/130141-23dds.htm,"encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `rok`; matching_rows=78744",obec,obec,0,uzemi_cis/vuzemi_cis=43,pohybobyvatel,2024
6,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140133q22,"Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2022","Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2022'},OD_ORG02q_2023011309360375.CSV,,zip->csv,820332.0,13.0,casref,2022.0,2022.0,1,2022,data_columns,False,,"2023, 2024",True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2022-01-01 00:00:00,2022-12-31 00:00:00,čtvrtletní,previews\C_140133q22_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_head.csv,previews\C_140133q22_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_tail.csv,previews\C_140133q22_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_meta.json,https://csu.gov.cz/docs/107508/a4b3e19f-9153-f711-27ca-c55e4d3b5c6a/140133-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2022 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_ORG02q_2023011309360375.CSV`.,obec,obec,0,"uzemi_cis/vuzemi_cis=43,44",poctyekonomickychsubjektupodleodvetviprevazujicicinnostizaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2022
7,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140133q23,"Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2023","Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2023'},OD_ORG02q_2024011210000000.CSV,,zip->csv,824934.0,13.0,casref,2023.0,2023.0,1,2023,data_columns,False,2023,2024,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2023-01-01 00:00:00,2023-12-31 00:00:00,čtvrtletní,previews\C_140133q23_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_head.csv,previews\C_140133q23_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_tail.csv,previews\C_140133q23_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_meta.json,https://csu.gov.cz/docs/107508/a4b3e19f-9153-f711-27ca-c55e4d3b5c6a/140133-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2023 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_ORG02q_2024011210000000.CSV`.,obec,obec,0,"uzemi_cis/vuzemi_cis=43,44",poctyekonomickychsubjektupodleodvetviprevazujicicinnostizaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2023
8,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140133q24,"Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2024","Počty ekonomických subjektů podle odvětví převažující činnosti za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2024'},OD_ORG02q_2024071209541038.CSV,,zip->csv,418889.0,13.0,casref,2024.0,2024.0,1,2024,data_columns,False,2024,2023,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2024-01-01 00:00:00,2024-03-31 00:00:00,čtvrtletní,previews\C_140133q24_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_head.csv,previews\C_140133q24_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_tail.csv,previews\C_140133q24_Pocty_ekonomickych_subjektu_podle_odvetvi_prevazujici_cinnos_meta.json,https://csu.gov.cz/docs/107508/a4b3e19f-9153-f711-27ca-c55e4d3b5c6a/140133-23dds.htm,"Archiv obsahuje 1 čitelných souborů; profilován byl `OD_ORG02q_2024071209541038.CSV` | encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `casref`; matching_rows=418889",obec,obec,0,"uzemi_cis/vuzemi_cis=43,44",poctyekonomickychsubjektupodleodvetviprevazujicicinnostizaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2024
9,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140131q22,"Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2022","Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2022'},OD_ORG01q_2023011309222080.CSV,,zip->csv,380580.0,13.0,casref,2022.0,2022.0,1,2022,data_columns,False,,"2023, 2024",True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2022-01-01 00:00:00,2022-12-31 00:00:00,čtvrtletní,previews\C_140131q22_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_head.csv,previews\C_140131q22_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_tail.csv,previews\C_140131q22_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_meta.json,https://csu.gov.cz/docs/107508/e9e70029-f638-b68f-b2c4-29f6b9443541/140131-22dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2022 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_ORG01q_2023011309222080.CSV`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,poctyekonomickychsubjektupodlevybranychpravnichforemzaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2022
10,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140131q23,"Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2023","Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2023'},OD_ORG01q_2024011209501937.CSV,,zip->csv,381934.0,13.0,casref,2023.0,2023.0,1,2023,data_columns,False,2023,2024,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2023-01-01 00:00:00,2023-12-31 00:00:00,čtvrtletní,previews\C_140131q23_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_head.csv,previews\C_140131q23_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_tail.csv,previews\C_140131q23_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_meta.json,https://csu.gov.cz/docs/107508/e9e70029-f638-b68f-b2c4-29f6b9443541/140131-22dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2023 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_ORG01q_2024011209501937.CSV`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,poctyekonomickychsubjektupodlevybranychpravnichforemzaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2023
11,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,140131q24,"Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části - 2024","Počty ekonomických subjektů podle vybraných právních forem za správní obvody Prahy, obcí s rozšířenou působností, obce a městské obvody a části","Práce, příjmy a ekonomika",ostatní,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Čtvrtletí roku 2024'},OD_ORG01q_2024071209514311.CSV,,zip->csv,193051.0,13.0,casref,2024.0,2024.0,1,2024,data_columns,False,2024,2023,True,vuzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2024-01-01 00:00:00,2024-03-31 00:00:00,čtvrtletní,previews\C_140131q24_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_head.csv,previews\C_140131q24_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_tail.csv,previews\C_140131q24_Pocty_ekonomickych_subjektu_podle_vybranych_pravnich_forem_z_meta.json,https://csu.gov.cz/docs/107508/e9e70029-f638-b68f-b2c4-29f6b9443541/140131-22dds.htm,"Archiv obsahuje 1 čitelných souborů; profilován byl `OD_ORG01q_2024071209514311.CSV` | encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `casref`; matching_rows=193051",obec,obec,0,uzemi_cis/vuzemi_cis=43,poctyekonomickychsubjektupodlevybranychpravnichforemzaspravniobvodyprahyobcisrozsirenoupusobnostiobceamestskeobvodyacasti,2024
12,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,340129r21,Statistická data pro územně analytické podklady - rok 2020,Statistická data pro územně analytické podklady,Průřezové datové balíky,územně analytické podklady,obec,databanka ČSÚ / agregovaný balík,OK_LKOD,LKOD,resource#1,{'cs': 'Data roku 2020'},OD_UAP01_2020 (2).CSV,,zip->csv,291361.0,10.0,rok,2020.0,2020.0,1,2020,data_columns,False,,"2023, 2024",True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2020-01-01 00:00:00,2020-12-31 00:00:00,roční,previews\C_340129r21_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2020_head.csv,previews\C_340129r21_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2020_tail.csv,previews\C_340129r21_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2020_meta.json,https://csu.gov.cz/docs/107508/0c2dbf3c-6830-bfbf-a3ec-af0bc6da9036/340129-22dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2020 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_UAP01_2020 (2).CSV`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,statistickadataprouzemneanalytickepodklady,2020
13,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,340129r22,Statistická data pro územně analytické podklady - rok 2021,Statistická data pro územně analytické podklady,Průřezové datové balíky,územně analytické podklady,obec,databanka ČSÚ / agregovaný balík,OK_LKOD,LKOD,resource#1,{'cs': 'Data roku 2021 - definitivní '},OD_UAP01_2021.csv,,zip->csv,291545.0,10.0,rok,2021.0,2021.0,1,2021,data_columns,False,,"2023, 2024",True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2021-01-01 00:00:00,2021-12-31 00:00:00,roční,previews\C_340129r22_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2021_head.csv,previews\C_340129r22_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2021_tail.csv,previews\C_340129r22_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2021_meta.json,https://csu.gov.cz/docs/107508/0c2dbf3c-6830-bfbf-a3ec-af0bc6da9036/340129-22dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2021 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_UAP01_2021.csv`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,statistickadataprouzemneanalytickepodklady,2021
14,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,340129r23,Statistická data pro územně analytické podklady - rok 2022,Statistická data pro územně analytické podklady,Průřezové datové balíky,územně analytické podklady,obec,databanka ČSÚ / agregovaný balík,OK_LKOD,LKOD,resource#1,{'cs': 'Data do roku 2022 - revize'},OD_UAP01_2022.csv,,zip->csv,278418.0,10.0,rok,2022.0,2022.0,1,2022,data_columns,False,,"2023, 2024",True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2022-01-01 00:00:00,2022-12-31 00:00:00,roční,previews\C_340129r23_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2022_head.csv,previews\C_340129r23_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2022_tail.csv,previews\C_340129r23_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2022_meta.json,https://csu.gov.cz/docs/107508/028fccec-54f0-ace7-982d-d9cb6250aa4e/340129-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2022 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_UAP01_2022.csv`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,statistickadataprouzemneanalytickepodklady,2022
15,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,340129r24,Statistická data pro územně analytické podklady - rok 2023,Statistická data pro územně analytické podklady,Průřezové datové balíky,územně analytické podklady,obec,databanka ČSÚ / agregovaný balík,OK_LKOD,LKOD,resource#1,{'cs': 'Data do roku 2023 - definitivní data za dokončené byty'},OD_UAP01_KOMPLET_2024092711244771.CSV,,zip->csv,278215.0,10.0,rok,2023.0,2023.0,1,2023,data_columns,False,2023,2024,True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2023-01-01 00:00:00,2023-12-31 00:00:00,roční,previews\C_340129r24_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2023_head.csv,previews\C_340129r24_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2023_tail.csv,previews\C_340129r24_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2023_meta.json,https://csu.gov.cz/docs/107508/028fccec-54f0-ace7-982d-d9cb6250aa4e/340129-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2023 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_UAP01_KOMPLET_2024092711244771.CSV`.,obec,obec,0,"uzemi_cis/vuzemi_cis=43,100",statistickadataprouzemneanalytickepodklady,2023
16,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,340129r25,Statistická data pro územně analytické podklady - rok 2024,Statistická data pro územně analytické podklady,Průřezové datové balíky,územně analytické podklady,obec,databanka ČSÚ / agregovaný balík,OK_LKOD,LKOD,resource#1,{'cs': 'Data do roku 2024 - definitivní data za dokončené byty'},OD_UAP01_KOMPLET_2025092909424565.CSV,,zip->csv,278158.0,10.0,rok,2024.0,2024.0,1,2024,data_columns,False,2024,2023,True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2024-01-01 00:00:00,2024-12-31 00:00:00,roční,previews\C_340129r25_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2024_head.csv,previews\C_340129r25_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2024_tail.csv,previews\C_340129r25_Statisticka_data_pro_uzemne_analyticke_podklady_-_rok_2024_meta.json,https://csu.gov.cz/docs/107508/028fccec-54f0-ace7-982d-d9cb6250aa4e/340129-23dds.htm,"Archiv obsahuje 1 čitelných souborů; profilován byl `OD_UAP01_KOMPLET_2025092909424565.CSV` | encoding=utf-8-sig | časové sloupce detekovány z průběžného vzorku přes celý CSV soubor, ne jen z prvních řádků | head/tail filtrovány na target years [2023, 2024] přes sloupec `rok`; matching_rows=278158",obec,obec,0,"uzemi_cis/vuzemi_cis=43,100",statistickadataprouzemneanalytickepodklady,2024
17,C,"má primary key, ale neobsahuje cílové roky (data)",jádrová pro IKŽ,0,250169r20,Uchazeči o zaměstnání dosažitelní a podíl nezaměstnaných osob podle obcí - rok 2020,Uchazeči o zaměstnání dosažitelní a podíl nezaměstnaných osob podle obcí,"Práce, příjmy a ekonomika",nezaměstnanost,obec,běžná statistika ČSÚ,OK_LKOD,LKOD,resource#1,{'cs': 'Data do prosince 2020'},OD_NEZ01_2021011210331155.CSV,,zip->csv,375480.0,10.0,"rok, obdobi",2020.0,2020.0,1,2020,data_columns,False,,"2023, 2024",True,uzemi_cis,equivalent,"územní kód použitelný jako obecní ekvivalent (catalog_hints_obec, uzemni_uroven_obec, sample_contains_municipality_columns); v head preview se hodnoty opakují (odhad duplicity 80%)",2020-01-01 00:00:00,2020-12-31 00:00:00,měsíční,previews\C_250169r20_Uchazeci_o_zamestnani_dosazitelni_a_podil_nezamestnanych_oso_head.csv,previews\C_250169r20_Uchazeci_o_zamestnani_dosazitelni_a_podil_nezamestnanych_oso_tail.csv,previews\C_250169r20_Uchazeci_o_zamestnani_dosazitelni_a_podil_nezamestnanych_oso_meta.json,https://csu.gov.cz/docs/107508/e64e2c95-d6b2-85b1-ee99-cf3177bae90c/250169-23dds.htm,roky načteny z celého souboru po chunkách | dataset obsahuje jediný rok 2020 v intervalu 2020-2023; head/tail jsou z celého datasetu | Archiv obsahuje 1 čitelných souborů; použit byl vybraný soubor `OD_NEZ01_2021011210331155.CSV`.,obec,obec,0,uzemi_cis/vuzemi_cis=43,uchazeciozamestnanidosazitelniapodilnezamestnanychosobpodleobci,2020
